transaction_id,order_date,customer_state,customer_city,category,subcategory,brand,final_amount_inr,quantity,discount_percent,payment_method,is_prime_member,festival_name,order_month,order_year,order_quarter,customer_rating,return_status
TXN_2022_00054823,2022-06-14,Karnataka,Bengaluru,electronics,Smartphones,Apple,163426.13,1,0.0,UPI,True,No Festival,6,2022,2,4.340115371,Delivered
TXN_2022_00112586,2022-11-13,Karnataka,Bengaluru,electronics,Smartphones,Apple,121870.7,1,0.0,COD,True,No Festival,11,2022,4,4.340115371,Delivered
TXN_2022_00033829,2022-04-25,Karnataka,Bengaluru,electronics,Smartphones,Apple,121870.7,1,0.0,UPI,True,Ramadan,4,2022,2,4.340115371,Delivered
TXN_2023_00028581,2023-03-31,Karnataka,Bengaluru,electronics,Smartphones,Apple,202317.3,2,8.21,COD,True,Ramadan + Vishu Puthandu + Thrissur Pooram,3,2023,1,4.340115371,Delivered
TXN_2022_00086875,2022-09-17,Karnataka,Bengaluru,electronics,Smartphones,Apple,355291.53,3,0.0,Net Banking,True,Navratri Dussehra,9,2022,3,4.0,Delivered
TXN_2022_00077854,2022-08-03,Tamil Nadu,Chennai,electronics,Smartphones,Apple,165123.15,1,23.73,Net Banking,True,Varalakshmi Vratam,8,2022,3,4.340115371,Returned
TXN_2025_00043872,2025-08-30,Karnataka,Bengaluru,electronics,Smartphones,Apple,97822.77,1,28.77,UPI,True,Onam,8,2025,3,4.340115371,Delivered
TXN_2024_00101660,2024-11-09,Karnataka,Bengaluru,electronics,Smartphones,Apple,99309.63,1,0.0,UPI,True,No Festival,11,2024,4,4.340115371,Delivered
TXN_2021_00050841,2021-05-18,Karnataka,Bengaluru,electronics,Smartphones,Apple,170568.37,1,0.0,UPI,True,No Festival,5,2021,2,3.0,Delivered
TXN_2022_00093028,2022-10-22,Kerala,Kochi,electronics,Smartphones,Apple,67909.43,1,49.64,COD,True,Diwali Sale,10,2022,4,4.0,Delivered
TXN_2021_00066030,2021-07-24,Karnataka,Bengaluru,electronics,Smartphones,Apple,220863.8,1,0.0,Wallet,True,No Festival,7,2021,3,5.0,Delivered
TXN_2021_00017576,2021-02-03,Telangana,Hyderabad,electronics,Smartphones,Apple,220863.8,1,0.0,Credit Card,True,No Festival,2,2021,1,4.340115371,Delivered
TXN_2021_00136136,2021-12-16,Karnataka,Bengaluru,electronics,Smartphones,Apple,144944.4,1,26.92,UPI,True,Christmas,12,2021,4,4.340115371,Delivered
TXN_2023_00084168,2023-09-07,Kerala,Kochi,electronics,Smartphones,Apple,141190.49,1,21.44,UPI,True,Ganesh Chaturthi,9,2023,3,3.0,Delivered
TXN_2024_00072818,2024-08-18,Telangana,Hyderabad,electronics,Smartphones,Apple,132831.91,1,18.49,Credit Card,True,Ganesh Chaturthi,8,2024,3,4.5,Delivered
TXN_2021_00088363,2021-09-14,Karnataka,Bengaluru,electronics,Smartphones,Apple,374795.17,2,17.08,UPI,True,No Festival,9,2021,3,4.5,Delivered
TXN_2021_00013608,2021-02-25,Tamil Nadu,Chennai,electronics,Smartphones,Apple,247552.79,1,0.0,UPI,True,No Festival,2,2021,1,4.0,Delivered
TXN_2022_00014793,2022-02-06,Karnataka,Bengaluru,electronics,Smartphones,Apple,195713.81,1,0.0,Credit Card,True,No Festival,2,2022,1,3.0,Delivered
TXN_2021_00112890,2021-11-18,Karnataka,Bengaluru,electronics,Smartphones,Apple,247552.79,1,0.0,COD,True,Karthigai Deepam,11,2021,4,4.340115371,Delivered
TXN_2024_00074465,2024-09-04,Telangana,Hyderabad,electronics,Smartphones,Samsung,107593.79,1,0.0,UPI,True,Onam + Ganesh Chaturthi,9,2024,3,4.0,Delivered
TXN_2023_00070176,2023-08-20,Tamil Nadu,Coimbatore,electronics,Smartphones,Samsung,134151.75,1,0.0,Net Banking,True,Onam,8,2023,3,4.0,Delivered
TXN_2025_00053370,2025-10-19,Telangana,Hyderabad,electronics,Smartphones,Samsung,71045.94,2,66.59,UPI,True,Diwali Sale,10,2025,4,4.0,Delivered
TXN_2022_00081231,2022-09-05,Tamil Nadu,Chennai,electronics,Smartphones,Samsung,80511.66,1,0.0,BNPL,True,Onam,9,2022,3,4.5,Delivered
TXN_2022_00049010,2022-05-19,Andhra Pradesh,Visakhapatnam,electronics,Smartphones,Samsung,160214.0,1,5.77,UPI,True,No Festival,5,2022,2,4.27529669,Delivered
TXN_2022_00091758,2022-10-13,Karnataka,Bengaluru,electronics,Smartphones,Samsung,170031.58,1,0.0,UPI,True,Diwali,10,2022,4,4.340115371,Returned
TXN_2024_00085517,2024-10-10,Tamil Nadu,Coimbatore,electronics,Smartphones,Samsung,95119.73,1,16.21,UPI,True,Navratri Dussehra,10,2024,4,4.5,Delivered
TXN_2021_00087937,2021-09-28,Karnataka,Bengaluru,electronics,Smartphones,Samsung,52220.98,1,53.78,Net Banking,True,Amazon Great Indian Festival + Navratri Dussehra,9,2021,3,4.340115371,Delivered
